train,bandeja,Feans_Fran_RGB00001482
train,bandeja,Feans_1_RGB00001064
train,bandeja,Fas2_00001137_flipped_rotated
train,bandeja,Feans_Pedro_RGB00000827_flipped
train,bandeja,Anton00001901_rotated
train,bandeja,Lucas00001355_rotated
train,bandeja,Merchi_RGB00000811_flipped_rotated
train,bandeja,Martin00001019_flipped_rotated
train,bandeja,Fas6_00002477_flipped_rotated
train,bandeja,Feans_2_RGB00001477
train,bandeja,Lucas00001466
train,bandeja,Fas7_00001082_rotated
train,bandeja,Anton00001980_rotated
train,bandeja,Fas6_00002477
train,bandeja,Anton00001980_flipped
train,bandeja,Edu_RGB00001588
train,bandeja,Feans_Pedro_RGB00000957_flipped_rotated
train,bandeja,Anton00001980_flipped_rotated
train,bandeja,Feans_Pedro_RGB00000827_flipped_rotated
train,bandeja,Fas5_00001348_flipped
train,bandeja,Fas5_00001404_rotated
train,bandeja,Merchi_RGB00000811_flipped
train,bandeja,Edu_RGB00001667
train,bandeja,galan00001054_flipped
train,bandeja,Fas4_00001409
train,bandeja,Martin00001111_rotated
train,bandeja,Fas3_00001752
train,bandeja,Fas3_00001569_flipped
train,bandeja,Feans_1_RGB00001198_flipped_rotated
train,bandeja,Fas4_00001276
train,bandeja,Merchi_RGB00000866_flipped_rotated
train,bandeja,Feans_Pedro_RGB00000827_rotated
train,bandeja,Fas1_00001493_flipped_rotated
train,bandeja,Martin00001111
train,bandeja,Feans_1_RGB00001198
train,bandeja,Martin00001111_flipped
train,bandeja,Fas5_00001404_flipped
train,bandeja,Feans_Fran_RGB00001566_flipped
train,bandeja,Feans_Fran_RGB00001566
train,bandeja,Fas2_00001222_rotated
train,bandeja,Fas8_00001162_rotated
train,bandeja,Fas6_00002364_flipped
train,bandeja,Deber00001273
train,bandeja,Fas4_00001347_flipped
train,bandeja,galan00001189_rotated
train,bandeja,Fas8_00001078_flipped_rotated
train,bandeja,Fas6_00002477_rotated
train,bandeja,Fas1_00001382_flipped
train,bandeja,Pablo_Plaza_RGB00001563_flipped
train,bandeja,Fas4_00001347_rotated
train,bandeja,Feans_2_RGB00001404
train,bandeja,Edu_RGB00001588_flipped_rotated
train,bandeja,Anton00001901_flipped
train,bandeja,Lucas00001466_flipped
train,bandeja,Feans_2_RGB00001552_rotated
train,bandeja,Fas4_00001276_rotated
train,bandeja,Merchi_RGB00000811_rotated
train,bandeja,Pablo_Plaza_RGB00001563_flipped_rotated
train,bandeja,Anton00001901
train,bandeja,Fas1_00001382_flipped_rotated
train,bandeja,Martin00001019_flipped
train,bandeja,galan00001128_rotated
train,bandeja,Merchi_RGB00000866_rotated
train,bandeja,Edu_RGB00001588_rotated
train,bandeja,Fas5_00001348_flipped_rotated
train,bandeja,Fas3_00001752_flipped_rotated
train,bandeja,Fas2_00001051
train,bandeja,Fas2_00001051_rotated
train,bandeja,Merchi_RGB00000866
train,bandeja,Pablo_Plaza_RGB00001480_flipped
train,bandeja,Feans_Pedro_RGB00000900_rotated
train,bandeja,Fas3_00001752_rotated
train,bandeja,Fas8_00001162_flipped
train,bandeja,Fas2_00001137_rotated
train,bandeja,Feans_2_RGB00001477_flipped_rotated
train,bandeja,Anton00002056
train,bandeja,Anton00002056_flipped
train,bandeja,Feans_Fran_RGB00001383
train,bandeja,Edu_RGB00001588_flipped
train,bandeja,Feans_2_RGB00001404_flipped_rotated
train,bandeja,Fas5_00001265
train,bandeja,Feans_Fran_RGB00001566_rotated
train,bandeja,Anton00001901_flipped_rotated
train,bandeja,Pablo_Plaza_RGB00001650_rotated
train,bandeja,Deber00001273_rotated
train,bandeja,Deber00001331_rotated
train,bandeja,Fas8_00001162
train,bandeja,Fas1_00001559_flipped
train,bandeja,Lucas00001466_flipped_rotated
train,bandeja,Alex_Pita_RGB00001566_flipped_rotated
train,bandeja,Alex_Pita_RGB00001566_flipped
train,bandeja,Fas4_00001276_flipped_rotated
train,bandeja,Alex_Pita_RGB00001484
train,bandeja,Deber00001331
train,bandeja,Feans_2_RGB00001404_flipped
train,bandeja,Feans_1_RGB00001135
